name,id,description,friends,followers,location,tweet,flag
*STORMY,StormyJahaad,#Love4Every1 #FreePE,423,424,Worldwide,fuck depression,1
LebRaul James,Allmighty_Raul,22. Computer Science Major. CSUDH. 10-10-20💍,467,295,"Baldwin Park, CA",Basketball really pulled me out of my depression I was so sad I couldnt sleep at night because of all the thought,1
softsimon ⚡️,softsimon_,Bitcoin nomad. I build stuff.,174,966,Malta,NewLightFunds mattodell Depression is a common repercussion Sadly,1
titties & tornadoes,jackieeejo,this sucks.,541,2181,,me just chillin while accepting the fact my depression is killing me from the inside out,1
small titty bimbo,raeisbabie,99% chance I cried today,29,22,,My tweets have just become me basically saying i am depressed and then you all go same and thats beautiful,1
Prathamesh Tamse,TamsePrathamesh,say waaaaat?!,46,20,"Maharashtra, India",Id rather kill myself than to commit a suicide,1
Hiral - Proud SSRian 🦋,12_hiral,"' I will keep you as my favorite incomplete wish.' 
Here only and only for Sushant Singh Rajput. ❤     
Fan account.",963,677,,Good thing animals cant commit suicide otherwise Salman Khan would have said the deer was depressed and mentally u,0
Republic,republic,"Official handle of the Republic Media Network.
DIGITAL. TV. MEDIA
https://t.co/jpp32jhq3d",3,2230910,"Mumbai, India",IndiaWithArnab During assembly discussion on breach of privilege suicide case brought up Senior Advocate Haris,0
Relaxing ASMR Titles,TitlesASMR,"Giving you your ASMR fix every 30 minutes!

(made by @emtomoIogy)",0,44,,Toilet Scrubbing NOT CLICKBAIT ASMR ASMR For Anxiety Depression,0
Charlie Hansler,CharlieHansler,depressed/downwardly mobile/leftist/cinephile,1255,303,"Pittsburgh, PA",Hard to shake the idea that Ill just be a severely depressed fuck up until the day I expire,1
Abhisek Kumar Panda,AbhiSeeker,"Seeker. Writer. An individual for collective upliftment of society through dharmic way.

Follow for Gyaan on state, society, spiritualism and science.",497,76,Bharat,If Chirag Paswan is a suicide bomber thenHow come Tejashwi Yadav a tough bright young man The latter owes his,0
sara 👘🎃,sarlqu,i don’t know how twitter works. 16,58,19,spencer reids heart,not vinnie hacker getting cancelled FOR LITERALLY BEING DEPRESSED leave the poor boy alone,0
kelly best,tkbest,We won!! Let's get that squatter out of OUR White House and finish the job. WTG JOE Fierce Mom and Gramma. #BLM #Resist #TeamBiden No Trumpies   Cubs Fan,4989,2813,World  Wisconsin,RoseIsRational meghanttucker I agree My kids didnt start showing signs of depression until they were 1820 My,0
rach the 2️⃣nd rate,bigcockyrah,coon who likes eating poon • (she/her) 🏳️‍🌈 • 20 yrs • insta: rxch_1,172,98,alone..,seasonal covid and regular depression got me like,1
Melanie Brown,Melanie_K_Brown,"💜God My Parents Furbabies Ferrets Dogs KOALAS Animal lvr @ronniemcdowell1 @MauriceBenard @1SteveBurton #GH
I'm loyal
Deal w/Migraines/Chronic pain Depression",2876,634,"Somewhere in PA, USA",simmons6654 bauk1234 Thank you Jay amp Rene I think I told God I cant take anymore I cry amp pray Ive been hav,0
shay ✨,babyybluegirl,don’t mind me 😗 this is my burner 🥸,74,10,"she/her, 19",The way depression has been kicking my ass This week is gonna be so long,1
DK,theDiiKay,total geek and dweeb. son of a battlecry. 21 he/him. find my writing @Story_Arc_blog,496,180,"California, USA",fucking having a revelation rn realizing that i have seasonal depression,1
BON,Gresham2x,GoyardGresham@gmail.com,401,3931,256,TheFinalSims HeartbreakHys Ethan made me feel bad cuz you suicidal,1
klaus ★,klauwuso,★ russian // 19 (9 dayz) // they/star/it // yung money,138,1161,,tw suicide kys,1
I said what I Said🖕🏾,simply_brook402,|24yrs| aspiring singer| Lover of books 📚 |Lover of God,1671,563,"Nebraska, USA",dammitmocki Same but trying to lose weight makes me stressed Then I eat more and then I get depressed,1
Matt Cavnar,mattcavnar,"Partner & Co-Founder at Five Four Ventures
Marty Boy Bell Peppers",529,422,Bay Area Bell Peppers,Danchaon Just doing the peoples work of throwing grist to the millNot to detract from how bat shit depressing so much of this is,0
ConsequentialBear,ConsequentialBr,,356,61,"Melbourne, Victoria",AdamCla38518391 itsJeffTiedrich realDonaldTrump Congratulations Adam youve reached denial the first stage,0
𝔥𝔞𝔶𝔩𝔢𝔶 ♍️,jadedhz,𝔠𝔳𝔤 ♥ 𝔱𝔯𝔢𝔞𝔱𝔶 𝔬𝔫𝔢 ☾,165,311,"Winnipeg, Manitoba",Yup yup yup yup this Regarding how unsafe Ive felt on transit lately I hugely rely on my partner to help me with,0
davisito,davidalejndro_,,335,249,,So depressing,1
PROLIFIC,Duane_Kariuki,Gemini. Dream Chaser. TMC🏁. Ultra Black,566,1375,"Virginia, USA",Then out the clear blue sky I cry random tears used to it me and depression been a tandem for years I suffer f,0
Honeybees.Quotes,HoneybeesQ,,52,1,,WE DEPRESSED or whatever DJ Khalid be saying,0
Lets Sort Stuff Out,LetsSortIt,Food Lover. #LA native living in the #Heartland. Online Entrepreneur. I teach people how to eat clean + sort stuff out. RTs are Not Endorsements.,1912,1624,Worldwide,Lets expose the stellar schools and stellar families raising the kids that drive kids to suicide bullying,0
AFIZ AMIN,AFIZAMIN,,114,33,,Nigeria has too many internal enemies that purport to carry her passportOnce the man in charge isnt someone you,0
Footler,FeriVanyi,"Champagne Socialists, be gone!",584,49,European Union,Tapperonis Alsoif the suicide rate doesnt decrease it kiiiiiinda implies that people arent happier You kno,0
Nova,Vampyr_Kun,A chill dorky dude😊 Overwatch❤ Anime❤ PS4,140,11,"Your Phone, Twitter",hinalul Its probably cuz most people with a history of depression die from suicide maybe idk just a thought,0
Kayleigh McEnany's Binder,DeplorableDebut,Receipt Librarian,174,252,,BrittanyVenti Seriously Ive just reconnected with people I havent spoken with in 6 years and in that time I,0
Crack Diego,BitaCrack,"Troy University Trojans, them boiz from Atlanta.....oh.....MASTERZ in strategic communications",41,3,,Suicide isnt funnyEye throw thingsBarely working 40 yrs old Aint had a solid blast in 2 weeksDrake so tight,0
chris/bore,improved_bore,"Ult Roy/Melee Falco | Aspiring content creator | gamer and geek | drummer, trombonist, and amateur guitarist | professional sad boi |",330,88,"he/him, 18",ToasterZoster my private used for screaming into the depressed voidi for some reason plugged the in an older,0
Irwin Oroceo,irwinoroceo,Actually pronounced O-ro-se-yo but anything is fine! 👍🏼 Predictably random.,315,220,Filipino in Singapore ,Suicide,0
I cant think of a origanial name,bully227,come on I don’t have a origanal name but you expect me to have a origanal bio! 🦦🦦🦦,209,84,Hidden leaf vilage,xplosionkng He is trying to encourage them into suicide because he thinks its funny and fun he was doing this on,1
Bello Olanrewaju,BardOlah,Student Leader|| Law Student || Nina Simone addict || Music Business Enthusiast || Pan African Ideologist ||Writer||CFC,1854,1506,"Ibadan, Nigeria",shankcomics could be depressing sometimes But its therapeutic every other day,1
🙏✨🍀BIGWINPLEASE!!🍀✨🙏,KatieAnee03,Second Account ✨🍀Backup acc for suspended my old acc 💖 More winnings for my FAMILY ❣️👨‍👩‍👧‍👧 https://t.co/EV1OTJESTu Gcash number - 09156018627,289,27,"Batangas City, Calabarzon",Keep going No matter how stuck you feel No matter how bad things are right now No matter how many days you,0
Dinamjoon ᴮᴱ⁷,HopeTiddy,She/her,1623,740,,uhuhlistenboiii Im not good inside really dissatisfied and depressed and angry ahahah,0
emoly 💫 semi-ia,usuratonkcchi,#ITACHI: i obliterated y’all bitches,1400,972,23 • she/her • usa,THEY SAY DONT LET DEPRESSION GET YOU DOWN BUT DAMN SHE PUTTING UP A FIGHT,1
toxica🔪,slappytiddies,funny enough 🇪🇨🇩🇴🇨🇴,124,148,"Highbridge, Bronx",Im depressed im fat smh,1
Slendernoia,slendernoia,"Cosplayer, accidental cult leader, cryptid of the friend group (they/them)",158,33,"Seattle, WA",When you get over your depression just to yeet yourself into deep anxiety instead,1
🍁tommy🍁,Zicrax,"tommy || he/him || bi || 19 || your local good vibe guy. || BLM,ACAB || pfp: @ziv_chris",713,556,watch kipo,funny bug discovers depression,0
👩‍❤️‍👩GayContent,BhadLil_Jawn,She/Her/Hers,1963,1613,"Chicago,IL",Man this the worse year everI finally find this punk rock song that I havent heard in years And Im looking up,0
ki,soytoxique,welcome to the party,613,372,Colombia,melbourne back at its prime bipolarness one day beach weather one day depressing rain,1
Sam | FIFA Brit,FIFABrit,"Brit living in the US. FIFA expert and personality (self-proclaimed). Boston College FIFA Champion 2019, finalist 2018, quarter-finalist 2020.",3059,602,22 (he/him/his),I hope anyone who wrote an article saying this was a suicide edits it or deletes it Need to respect the familys w,0
Shraddha Birde,BirdeShraddha,My only limit is me🖤,74,120,Indore ,ChouhanShivraj We are in depression how can we celebrate our diwali without any job,1
spooky jes ⁷ 🎃,jdbftbts,"@BTS_twt BBMAs: 52117, 52018, 50119 | AMAs: 111917 | LY Tour: 9518, 9618, 100618 | Speak Yourself: 5419, 5519, 51819, 51919 | GMA: 051519 | 🇲🇽 #DefendDACA",796,17087,"Vegas, USA",Ive been so depressed all I think about is ways I can feel pain because I feel nothing,1
Where's Hunter Biden?,wiq_john,Time to take back America for good. Patriot checking in. 8 more years! (New Account),128,451,,thebiasnews Thats right He stands by his claim Also hes not suicidal Protect the whistle blower Expose the,0
prince 💌 zhongli he/him lesbian,Ioversnote,#ZHONGLI: can’t take my eyes off you the neon lights in a long night ❞ ♡ ART : @NAGIHTOS,669,957,he/they. 20. lesbian ♡,lougosi brainrot bc Im so desperate for serotonin rn pls why does depressed suck so bad,0
akaomjedom,Eilafdiaeldin,"We tried the world; good God, it wasn't for us

UMST// Business",212,274,,Everybody mentiom suicide prevention man they even made a hotlineTo call up when theres tension but I got a que,0
Mimi 🐰,sunsiets,she/her || 18 || ACAB || that’s pretty fucking gay bro,1201,247,,I cant even be depressed n suicidal on da man because as soon as my bf sees it he calls my ass and makes fun of me,1
💜kaitlyn💜 COMMS OPEN,oyaoyasumie,"i draw sometimes 💜 BLM/ACAB 💜 18 💜 SF Bay area 💜 she/they

⭐COMMISSIONS ARE OPEN!!⭐
☕Buy me a coffee, maybe?☕",112,44,your mom's house,hehe I love winter I get so depressed when its blisteringly hot outside I looooove cold weather,0
𝕞𝕚𝕟𝕚 𝕞𝕒𝕣𝕦 💕,dumblittlkitty,"twenty-four ♡ b1mbo ♡ rw ♡ kitten ♡

👉 my secrets go here @marume0w ♡ 👈 • ♡ aesthetic acc: @marusthetic ♡ • owned by @_Mr_Maru",200,202,england,iamfairycute ah yes depression,1
💜Crimson💜,CrimsonLazywolf,I have depression plz kill me,11,167,"Palmerston North City, New Zea",ImdatLucygal Dont I got depression,1
ᴮᴱᴊᴜɴɢᴋᴏᴏᴋ ⁷,JUNGKOOK_030_,#JUNGKOOK | #정국| #JK | #OT7 | #BTS_dynamite| #BE | #BTS: I purple you 💜,135,100,Map of the soul |she/her,I sometimes wonder if Im not a good friend because lately I havent been in a super cheerful moodlike I want,0
Lyndsey,lyndseyerinx,Smiling young woman standing in snow.,275,288,,Honestly can you imagine telling someone who was suicidal to quit their whining,1
megs,daysdeschanel,"#ZOOEY: she’s a singer songwriter, taylor swift",491,5431,she/her | 20,tw suicide suicidal again but of course im too weak to go through with it i just know everything wo,1
Anastasia☦︎︎𓅓,annathecreator1,follow me ↗️🥳. sc : @its_anastasia00👻,28,28,Yo daddy house,Theyve done me bad this year so many suicidal thoughts running through my head but Im here whats next though,1
m + c,yellowandgolden,she/her | just a girl and her yellow horse,337,343,,Having my anxiety overtake my depression is SO much worse than they other way around holy fuck,1
𝐁 𝐄 𝐘 𝐎 𝐍 𝐃,GiftOfDeathB,𝚃𝚒𝚖𝚎 𝚒𝚜 𝚊 𝚐𝚒𝚏𝚝.,111,143,"Los Angeles, CA",Oh you dont knowYou sad delusional girlHe had rem commit suicide basically or are you so blind you for,1
Tattooed mummy 😷,Tattooed_Mummy,living with Hereditary Sensor and Motor Neuropathy. (Charcot-marie-tooth) My pronouns are she/her COVID 19 is real😷 Trans people are people🌈 #blacklivesmatter,2271,10320,England,There is no evidence that suicides have increased 200 under lockdown,0
Lost Boy Rufio0o 🇧🇧🇵🇦,bonnille,book me: credit repair | digital art|real-estate coach | covers| logos | manager for @_NoteZart | small business coach -IG: Rufioo0o,2674,1975,"Charlotte, NC",i deal with depression so well because its my norm i dont come out of it i just maintain,1
taylor,taypellerin3,BLM & god is a woman.,151,168,"Lafayette, LA",The depression is extra spicythese days,1
Jorge 🇵🇷🐝,JojiGarf,i am seriously fucking losing it atm,502,70,he/him ,PigeonFan69 I am depressed so yes,1
m☆²⁸ ♡’s liaocufh,miravol7,#NIALL: good evening ya sexy fuckers | ot5 | 5SOS she/her,351,338,emotionally unstable,starstrungsea good but hes depressed,1
flop era + wants more moots ✪,MVLTIBUCKY,#BUCKY: end of the line my ass,149,170,she/her!minor!wasMVLTIREID!,tw depressioncan we act like ppl can be depressed and listen to billie eilish without it being fake,1
Najmerh,HisfutureBoo,"Food is bae
momma's bae
Daddy's heartbeat
#poet 😁",1259,3245,,haliematouuu 2 are in coma1 committed suicide 1 was involved in an accident Na only me remain,0
Star Trek: Bulk Fuel Specialists,Amanda_Kerri,"PhD. in Kegelian Dianetics. Oxford University, All Berries College. 
Contributor @theadvocatemag. Comedianish. Incidentally trans.",1169,6879,"Norman, OK..",macstarjames depressingbutt LeroiDeRats wigglin pyrates4life SparksChild NathanJRobinson You really think t,0
Asami Fuji (富士麻美)✈,Lillyteardrop,"New dog mother. Rock Collector. Gulfstream/Diamond pilot. Mullein/milkweed farmer. Pianist/Violinist. I LOVE squirrels, flying, Formula 1 & a Houston Cowboy.",2911,2625,"Houston, TX / Toronto, ON",I found out something quite sad last week A young guy that I used to play online poker against a lot when I first,0
Viveros,Viveros_1998,,317,108,,ZpookyBooky FurryVarmint IwriteOK Ive been depressed before This is a level of selfsabotage well beyond what,0
✰ rae is starting to spiral ✰,glitterintears,rant account (tw; ed) ★ 21 ★ she/her ★ no fatspo/gore/etc ★ pro-recovery,261,237,,tw mention of suicidal thoughts so I thought Id be able to find a therapist but I still havent yet Im wonderi,0
☕️Coffee Witch🔮,corgibutt_scout,Dani// She/her//lvl 24//Furry//Thunder Clan//Gryffindor//Pansexual//Bigender//views are expressed are my own//icon by @chrysisi,583,67,,Depressed Pisces hours who up,0
Appalachian Bushwhacker,anglotradboy,11th Generation American || Episcopalian || Agrarian || Nativist || SCV,210,358,Trans-Allegheny Virginia,CottonTurtle9 Books such as this are both the most heart warming and depressing reads ever,0
deppressed clippers fan,MentalNigga,im so sad. i am so sad i am so sad . i am so sad. @pixiibunnii is cool or wtv 🙄🖤,195,40,"Virginia Beach, VA",niggas be like bro u depressed no nigga im just posting my daily reminders,0
BuffPigeon,bufferpigeon,"I play games and do art sometimes.  Sometimes you can watch at https://t.co/p85i7WzS0e  Icon and header by @_cobean 
(they/them)",674,93,"Santa Fe, NM",NBBlackSheep hes not straight hes depressed,0
Katie Sheridan🌊,katiejsheridan,Liberal agnostic DEM. Escapee frm GOP/fundy religion. I BLOCK MAGAts! Sep ⛪/state! #BLM #resist #BidenHarris2020 #VoteBlueToSaveAmerica 🌊🌊🌊,2443,2421,Florida's Treasure Coast,MysterySolvent This is really THE questionWo brainwashed cult members there could be no cult amp Trump could have,0
anne,anne11702426,"Everything great and good ..I love GOD, my 3 boys, my little granddaughter and America. #MAGA#Trump2020 #Godwins#NRA*RN* :parler anneblair1813",364,105,,JamesOKeefeIII How many took money to shut up and yet he came forwardnot many would come forward to face people,0
Yemi,OneDimple1Smile,Philippians 4:13 https://t.co/srTkdLcx6L  💛,1021,1042,young west african girl ,You thinkin Im sittin up depressed Im somewhere countin up me a check,0
𝘾𝙤𝙡𝙚 😎,ColeTheBowl,https://t.co/R4rZHhNh80,432,7097,,ipodkingcarter amazon No Its Depressing I cant sleep lmaooo,1
✧ Nezuko-chan ✧,HimeNezuko,🔞 NSFW Rp account | 27 yo | Draws sometimes | Multi shipper | (UTC -05:00) Eastern Time @Tanjiro51004650,51,73,Nezuko is aged up,SleepingBreath Ive been trying to hide away from depressed feelings and I just finally let it out while taki,1
glo navy,GL0RYG1RL,i am that i am,1380,4545,biafra | tx,ok but have yall ever completed the bible plan then restarted it bc u were still depressed lmaoooooooooo,0
𝐚𝐛𝐛𝐲 ✦✧✦✧,gabbysdawsons,it’s a sad song but we sing it anyway 💘💜💙,456,530,she/her.,beths death hits me a little harder every time i watch the 2019 version the only one that matters honestly she,0
OPSerenaShimAward,SerenaShimAward,"Marine Corps Vet, I'm a guy.  https://t.co/MhatM6UWRZ #INFJ #depression #anxiety #resist My Name is Dennis.  Be excellent to each other.",10393,10790,,I really thought my depression was better then a person I thought was a true friend freaked on me I fucking hate the Internet,1
Karen (bloodlust for the bourgeoisie) 🏳️‍🌈,kaijukaren,"I’m not asking to speak to the manager, I’m asking to speak to the CEO. she/her",209,168,"Chicago, IL",To the tune of Tradition Depressiooooon Depression,1
Dÿke Magnet,LifeSoLavish,Mom👩‍👦|♉️ | Queer🏳️‍🌈Trini🇹🇹| FAMU Alumna🐍| Publicist + Marketing Maven | NYC 🛫 DENVER| Grad Student at DU 📚❤️ Travel Writer 🛩🌴She/Her,1895,3040,"Denver, CO",Would love to isolate for a month but being a mom I guess ill ignore my crippling depression and wake up tomorrow to make breakfast,0
Mwiza Sophy 🇺🇬🇷🇼,MwizaSophy,accountant|CPA scholar|DM is strictly for business|Jeremiah 29:11 and Philippians 4:13🙏 #Empako_Akiiki ❣️,9092,23998,"Kampala, Uganda",Youre depressed,1
Guardian Floof,SiriusWakita,🎨 account: @SiriusCreates ✦ 29 y/o He/him Black ✦ 🔞 NSFW Zone! ✦ ❤: @arcmooter & @chrispywolf,1458,6231,"Nederland, TX",Doing some catching up via look through the tweets someone made throughout the year so far Getting a lot of mi,0
🍓 bee!! 🍓#uktransrights rachel stan account,LemonBlud,stfu so I can love you~✨,468,328,they/them,TW suicideI would like to thank ratsoup because theyre the only reason Im still hanging on rn,0
Amethyst,amethyst_idk,She/her  |▪︎| header by @Masaomoshi,378,504,Alpha Centauri,Im sleepy Finally tired from having a fun time instead of depression having a nice time is awesome Swee,0
Princessproton23,Princessproton1,Nope,122,22,,almostmikaela B9robot onedankmom NCGovernor Yes but more people are not getting cancer detection and treatmen,1
K开I,ljunmyeon,"#VidasNegrasImportam
KAI 카이 The 1st Mini Album KAI (开)

#카이 #KAI #开",2099,2768,KaiD.O.&Zayn supremacist,depression,1
nis👀,ilopyukamu,"nis gie gmaw bcotz, tp jbjb jlan",959,963,ur heart,breadpotata jeremy zucker all the kids are depressed,1
bitcoiner,_bitcoiner,"HELLO, FRIEND.  #DEVAULT | #SWIFTCASH | #SMARTCASH | #PIVX | #HIVE | #BITCOIN",312,1616,,random throwback thought of the daymy dad noticed dat when a suicidal jumper accidentally kills an innocent ped,0
J,W6OI9tC8qylBhT3,"Assemble the ""Ski Resort Magic Carpet"" for out-of-life wildlife, charging with fish stock obstacles, and lockover!",2660,93,,Badermasaker Korean hidden Christian daimyo sleepwalking is hibernating due to depression without revealing the re,0
acab + blm ⚔️ STREAM MY AGENDA ⚔️,eearthfriendss,ash / they/them / read carrd before following,864,146,,ash earthfriend depression era,0
isis,soxtrot,berry berry banana yogos || she/her,111,126,"33.800764, -84.416231",You can tell my depression is peaking when all the food I make tastes like lean cuisines evil twin,0
Jesus Christ 2020 #anti-christaphobia #repent,Ibenchaux,"Jesus is the way the truth and the life!
Uncomfortable discussions are more effective than false comfort.
No political affiliation.. only JESUS CHRIST",5,12,,highlordsix9 DianaHollins BBCLondonNews the way i see it evolution made a huge mistake It should have left us,0
A. #ENDSARS,blacnshine,yoruba 🇳🇬 | PA Specialized in OB/GYN loading... | Christ first.,1449,2647,everywhere,DamieHazard Na suicide or hearbreak Roll down ke,0
Sachiin Suryavanshi,sachiinv7,"🇮🇳Javandroid Enthusiastic.Founder And Owner of Ksamyatam Softwares, previously Javandroidaholic.Javandroid My Passion Music My Energy @ksamyatam #sachasays",1,911,,Kindly put light on Anvay last company he started in March 2018 two months prior his deathName of company Concord,0
camo Slim,RealCamoSlim,Father/Entrepreneur/ Hustler all in One!!,31,7,,Im by myself cuz Ive been fighting depression,1
Lord,Realdanielsonn,🧛🏾‍♂️💕,980,1209,,I hate when that random sadness kicksin then boom depression begins,1
Sara,SaraSushant2020,Views are mostly pointless. Retweets are not Endorsements,518,3062,Why?,Nonconf70682262 Deepika9813 and life insurancepayable upon suicide or not,1
Jai,brownskinlyn,| RIP 8.5.20 🕊 | BLM  |,1742,2338,Dtx,No suicidal shii but sometimes ion wanna be here,1
bilal sohail,LawBilal,Without Humanity How Can One Live...Retweets don't imply endorsement or agreement.” Disclaimer,297,307,,poojashah82 ajaramar barandbench Salve is all bolwed out todayhe is arguing irrelevanttrying to color the,0
Jha Sumit,JhaSumit1212,Photon in a double Slit..🙃,16,0,"Surat, India",barandbench Salve As per Anvay Naiks suicide note Arnab Goswami owes 83 lakhs where more than 5 crores have be,0
Taylorss,Poca_hontasss_,#NsuAlumna💚,839,1132,,A lot of yall claim yall wish yall could have saved my bestfriend but wasnt trying save him while he was here d,0
sun 2 years w bomin,ijenosaur,the boyz,9126,10558,wanna one ,DAMN ALL THE BEAUTIFUL GIRLS THEY ONLY WANNA DO YOU DIRT THEYLL HAVE YOU SUICIDAL SUICIDAL WHEN THEY SAY ITS OVER,0
Aly,HiImAlyy,23 | SoFlo | FAU '20,708,254,"Florida, USA",Same old same old but add depression and subtract about 15 pounds,0
Yogita Limaye,yogital,"India correspondent, BBC News; reporter covering India and South Asia with stints in the US, Middle East & S Korea; views are mine; everything stops for chai",1559,34832,"Mumbai, but often on the road",Anxiety depression and insomnia were most common among recovered COVID19 patients,0
a’niah,babygirlaniah,💗don’t take my twitter seriously,162,300,,Depression is no joke I swear,1
tatum ੈ♡˳·˖,catluvr817,world icon,296,533,,no matter how bad my mental health gets i will not listen to teen suicide again i REFUSE to go back down that path,0
whiggy,WhiggyFN,Competitive Fortnite Player | 17 | NAE | 🎮,611,67,"New York, USA",Sparebow if ur getting depressed over sophomore year then idk what to tell u junior year was sooo bad,0
jefa,__aKAYY47,The objects in the rear view may be closer than they appear. 🧘🏽‍♀️,662,1472,"New Orleans, LA",Just thinking I gotta be in this body the rest of my life I need to give it healthier food But ughhhhh thats depressing,1
☕Logan Paul🛒,That0neWeeaboo,I love Moon🗿IRONIC JOKES🗿NSFW/mute 🐳🗿Vtuber Simp🗿100+ waifus🗿RIP @moonpkmn🗿Wierd Fetish Girl🗿Real Echidna Re:Zero🗿Armpit/Guro/vomit/drug Enthusiast,246,302,,I might die I dont know how but it might be suicide,1
Footler,FeriVanyi,"Champagne Socialists, be gone!",584,49,European Union,Tapperonis You had a way too sheltered childhood if you think this is hate xD Love this can barely be considere,0
𝔞𝔶𝔩𝔞 ♡,killaakira,xavier wulf simp page,443,483,crying,the horny and depression hitting,0
Evil Reddick,EvilReddick,I’m baaaaaaackkkk,312,938,CANADA,jthamano KyleBuschFanV5 Depression and obsession,1
e91techninja,e91techninja14,BLM. 21 He/Him Cis. BLACK. Furry/Scalie Nerd. multi-shipper. Teratophile MULTI-FANDOM. thirsty for a lot of characters. BLM,3965,162,Multi Fandom,PrinceGeovani Suicide Squad And Harley Quinn,0
nyx and dusa stan BLACK TRANS LIVES STILL MATTER,SeasonIncarnate,"I want a PhD & to be an astronaut. UMBC '21, MtG L2. Chemist and future Jorge-052. My gender = dysphoria + tears. ✡️✡️ I 3D print things.  They/them or She/Her",682,1517,"trans rights are human rights, I'm a non-binary trans woman",behsss this is a joke because its a layer cake of depression which you cant eat,0
Lover's Rox,kittygangrox,"Just 👀ing. Carry on...
🇯🇲",20,3,,Sometimes I worry Ill never get better That Ill always feel lonely and depressed or never figure out who I am an,0
ophelia,theenarelle,i know how furiously your heart is beating,427,1127,Lebanon,anytime the depression takes a hold of me i just watch the Tough Lover scene from Burlesque and im cured,1
HH,HalalHussle,,282,273,Canada,Happiness and depression Im stuck inside the middle,1
Rose Winkler🗽🇺🇸🇩🇪 🌿⚘🦋🦚,RoseWinkler,"Been on here since 2011 & still don't know to use Twitter. Or a cellphone.
Was systems software designer, now a luddite
♿ Dxed: CFS/ME, FM, KC
I don't DM",550,455,New England US🌎🌐💫🌙✨🌟🌌,renear3 ThursdayGem I read the whole page CDC involvement is there My dad was bipolar amp committed suicide If,0
Chef Fej the Villain 💀,chef_fej,"Chef @fejs_kitchen
 
Creative cook | Farmer | Law | Anime | Retired writer",1127,823,,The week after I was broken up withI lost my debit cardWas almost hit by a truck cause I was crossing the road a,0
Marilyn Shepherd,MarilynShephe15,"Refugee advocate, human rights campaigner💧",331,1787,Australia,tanyaplibersek No they didnt they went to get the kings shilling for the UK in pointless WW1 and to feed their,0
Boy,boykemanalagi,I mumble in English when I feel terribly lonely,175,55,Nowhere,Just had a rough depression this morning How can I never get used to it eventhough I had it for several timesI should try to seek help,0
The Hindu,the_hindu,News feeds from India's National Newspaper,205,6505938,"Chennai, India",Just in HarishSalve for ArnabGoswami argues the order of reinvestigation in the suicide case was made by the D,0
IG: kennjrr,kenturnerr,✨ #moods sc: Kenneth.turner6,67,48,"Michigan, USA",Lowkey slipped into a depression and still perfectly fine with that,1
💛 🦁 ShErNi🦁 💛,HeWillBBack_07,"Two Pcs of My Heart💔
One Belongs to #Sushant
Another Belongs to #Shehnaaz

If One is my ❤️
Another is its 🎶

#OnlySushSanaMatters 💞⭐💢💫🌈",1147,4269,India,Exactly it is How anyone can commit suicide on less ammount to be paid I will have to Think Hard if i have ta,0
tasha,peggyguggenheim,the internet helps me.,307,90,"brooklyn, ny",I have depression but I can still laugh uncontrollably thinking about this one time I looked over at someones phon,1
Mystic Mage,MysticalMage31,,208,176,,Scorpion1000335 XPKYT makotoshibata game Who the games go out of their way to show is a kind compassionate a,0
aneela :0,desi_wh0re,"natasha lyonne stan account

(she/her)",133,92,swagville,why would both of us be depressed when we can just have sex lol,0
Quynh,QuynhMontgomery,My children are surprisingly good looking—I believe everything is better with bacon—profanity is my 2nd language — and I’m convinced my dog is judging me.,2552,2426,VOTE BIDEN,TheAlexManasseh samanthamarika1 I never realized suicide was a laughing matter Phony MFs,0
Steph.,Surfer_stephh,vintage,248,186,,Cuss I got depression,1
NAT,girlyfacenat,csulb ‘24,87,105,on yo mind ,MizabellaV its depressing,1
J 🖤,jxrdxnmxx,pronouns: that/bitch | LLJ | OR,655,749,MAKEOUTHILL,No offense but please dont send me the suicidal hotline if Im on edge,0
David Forum 🦅 🇨🇺,zlingray,https://t.co/oy3jfloZnS,835,13753,,tried to reflect on why i short circuited as a writer as a young man beyond the alcoholism in my hour of writing,0
JULIEB,julieejuleees,VCUfashion.,447,563,,Mental health is real Depression is real Suicidal feelings are real Sadness is real Anger is real Its all rea,1
Mr. J,mrfoolycooly,Anime and real hip hop...thats life.....and Anna i guess lol,357,256,Los Angeles,Yooo the beast boy episode in young justice is hella depressing but funny lol,0
megan,shakingskies,( ͡° ͜ʖ ͡°),285,118,"minneapolis, mn",linzbot crockpots are the perfect seasonal depression gadget,0
Weber,Weber91870260,Back to fight the Trump propaganda ! Worried mom for the future of our children . French / American living in France #VoteBiden #Resist #Vote🌊🌊🌊🌊🌊,528,284,"Bordeaux, France",DesignationSix You thinking about trump Hahaha he is to coward to commit suicide The guy has an oversized ego b,0
RailroadedUnderground,RailroadUnderg1,Freedom fighter. Incarcerated human being reporting from inside of a prison with a contraband cellphone. Trapped in a petri dish.,220,14914,,It has been 8 months of being confined to a cage since COVID19 2324 hour lockdown in a kennel sized cell My clo,0
Nandini Idnani,idnani_nandini,"Namo Bhakt Very Proud Hindu Nationalist Proud Home Maker 💞
#JaiShriRam 🙏🚩🇮🇳",1348,6594,"Maharashtra, India",Starting from palgharsadhulynching Bandra case to witch hunting against ArnabGoswami RepublicTV till fake suici,0
